id,fecha,cuenta,texto,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,matcheos
1623399999458406404,2023-02-08,Javier Milei,"""La “violencia de género” no protege a los más débiles: los niños. Ningún otro colectivo de personas presenta tanta indefensión. Sin embargo el Gobierno destina miles de millones a proteger a mujeres, trans y travestis mientras invisibiliza y desprotege a los niños.""","violencia-5,género-18,niño-60,colectivo-79,personar-92,indefensión-116,embargar-133,millón-170,mujer-192,travesti-209,niño-260",débil-47,"proteger-29,presentar-101,destinar-153,proteger-181,invisibiliza-228,desproteger-243",Ningún-67,"","",violencia
1623292564328554496,2023-02-08,Javier Milei,"""Por ende, habla de crecimiento sin tener la menor idea sobre la base del mismo y como socialdemócrata cree que los problemas fiscales se arreglan creciendo más para que crezca la recaudación y sin tocar el robo de la política con el gasto público.\nLa receta del fracaso argentino.""","crecimiento-20,ideo-51,basar-65,socialdemócrata-87,problema-116,recaudación-180,robar-207,político-218,gastar-234,recetar-253,fracasar-264","menor-45,fiscal-126,público.\nla-240,argentino-272","hablar-11,tener-36,creer-103,crecer-147,crecer-170,tocar-198","","","",robo
1623292239576178688,2023-02-08,Javier Milei,"""A su vez, en esos países hay menor inflación, por lo que podemos entonces inferir que a @horaciorlarreta le gusta robarle a los argentinos el fruto de su trabajo, no sólo vía mayores impuestos, mayor deuda sino también vía emisión monetaria (obvio dado lo que le gusta gastar).""","vez-6,país-19,inflación-36,argentino-129,fruto-143,trabajar-155,impuesto-184,deuda-201,vía-220,emisión-224","menor-30,mayor-176,mayor-195,monetario-232,obviar-243,dar-249","inferir-75,gustar-109,robarle-115,vía-172,gustar-264,gastar-270","","","",robar
1623292192964988929,2023-02-08,Javier Milei,"""En primer lugar eliminar el BCRA es un argumento moral porque robar está mal. La inflación es un delito que favorece a los políticos y perjudica al privado. Además impacta de modo negativo en el sistema de precios por lo que castiga a la inversión, la PMgL y al salario real.""","lugar-11,argumentar-40,inflación-82,delito-98,político-124,privar-149,modo-176,sistema-196,precio-207,inversión-239,salariar-263","﻿1-4,moral-50,negativo-181,real-271","eliminar-17,robar-63,favorecer-109,perjudicar-136,impactar-165,castigar-226","","BCRA-29,PMgL-253","",robar
1623181130034716675,2023-02-08,Javier Milei,"""Antes era cuándo tengamos la policía propia se terminan los piquetes, ahora son los intermediarios (mismos intermediarios que estuvieron 2015-2019 y nadie sacó), mañana será otra motivo. Cuando no hay decisión política no se puede hacer mucho. https://t.co/opBHsJHXDR""","policía-30,piquete-61,intermediario-85,intermediario-108,2015-2019-138,motivar-180,decisión-202","propio-38,político-211","ser-7,tener-18,ser-77,estar-127,sacar-156,ser-170,hacer-232","","","",policía
1623110790675849216,2023-02-08,Javier Milei,"""Tirano, dictador, criminal, genocida, mentiroso, inescrupuloso, siniestro. https://t.co/92Ly7zTNks""",dictador-9,"criminal-19,genocida-29,inescrupuloso-50,siniestro-65",https://t.co/92ly7ztnks-76,Tirano-1,"","",criminal
1623095919917821953,2023-02-07,Javier Milei,"""Te lo imaginas de PRESIDENTE cuando en la campaña prometió, bajar impuestos, inflación, pobreza, inseguridad? Si me entienden ? https://t.co/tC6S554o3x""","campaña-43,impuesto-67,inflación-78,pobreza-89,inseguridad-98,https://t.co/tc6s554o3x-129","","imaginar-7,prometer-51,bajar-61","","",PRESIDENTE-19,inseguridad
1623030753578651655,2023-02-07,Javier Milei,"""Por ende, habla de crecimiento sin tener la menor idea sobre la base del mismo y como socialdemócrata cree que los problemas fiscales se arreglan creciendo más para que crezca la recaudación y sin tocar el robo de la política con el gasto público.\nLa receta del fracaso argentino.""","crecimiento-20,ideo-51,basar-65,socialdemócrata-87,problema-116,recaudación-180,robar-207,político-218,gastar-234,recetar-253,fracasar-264","menor-45,fiscal-126,público.\nla-240,argentino-272","hablar-11,tener-36,creer-103,crecer-147,crecer-170,tocar-198","","","",robo
1623027909291085834,2023-02-07,Javier Milei,"""A su vez, en esos países hay menor inflación, por lo que podemos entonces inferir que a @horaciorlarreta le gusta robarle a los argentinos el fruto de su trabajo, no sólo vía mayores impuestos, mayor deuda sino también vía emisión monetaria (obvio dado lo que le gusta gastar).""","vez-6,país-19,inflación-36,argentino-129,fruto-143,trabajar-155,impuesto-184,deuda-201,vía-220,emisión-224","menor-30,mayor-176,mayor-195,monetario-232,obviar-243,dar-249","inferir-75,gustar-109,robarle-115,vía-172,gustar-264,gastar-270","","","",robar
1623026260594069531,2023-02-07,Javier Milei,"""En primer lugar eliminar el BCRA es un argumento moral porque robar está mal. La inflación es un delito que favorece a los políticos y perjudica al privado. Además impacta de modo negativo en el sistema de precios por lo que castiga a la inversión, la PMgL y al salario real.""","lugar-11,argumentar-40,inflación-82,delito-98,político-124,privar-149,modo-176,sistema-196,precio-207,inversión-239,salariar-263","﻿1-4,moral-50,negativo-181,real-271","eliminar-17,robar-63,favorecer-109,perjudicar-136,impactar-165,castigar-226","","BCRA-29,PMgL-253","",robar
1623020878744195079,2023-02-07,Javier Milei,"""""Un macho muerto, un femicidio menos. Muerte al macho"" escriben las feministas y el colectivo LGBT en cada marcha. No hay que sorprendernos después de los casos como el de Lucio Dupuy. Obviamente, van por los niños, porque con los más grandes no se animan. https://t.co/TASoa7MDU4""","machar-5,femicidio-22,muerte-39,machar-49,feminista-69,colectivo-85,marchar-108,caso-156,niño-210,https://t.co/tasoa7mdu4-258","morir-11,lgbt-95,grande-236",sorprendernos-127,Lucio Dupuy-173,"","",femicidio
1622832833617186816,2023-02-07,Javier Milei,"""Estamos de acuerdo en que...:\n•La justicia social es injusta;\n•Los impuestos son un robo;\n•No se puede hacer caridad con el bolsillo ajeno;\n•La ""torta"" no existe;\n•Hay que achicar el Estado;\nY que #Milei está más bueno que el dulce de leche? \nSi sabes otra, anotala.😉👇\n❤️🦁 https://t.co/Gsy2kFuSOM""","justicia-36,impuesto-70,caridad-113,bolsillo-128,torta-150,dulce-233,leche-242,https://t.co/gsy2kfusom-282","social-45,injusta;\n•los-55,bueno-220,\n-276","ser-80,hacer-107,existe;\n•hay-160,achicar-178,saber-254",Milei-205,"","",robo
1622725597997764608,2023-02-06,Javier Milei,"""Alberto, durante tu gestión, el dólar pasó de $60 a $373. Lo único que creció fue la pobreza y la inseguridad, reventaron un país que apenas llegaba a fin de mes. Mejor tené un poco de dignidad y llamate al silencio. https://t.co/8qy4bEDYqn""","gestión-21,dólar-33,$-47,$-53,pobreza-86,inseguridad-99,país-126,mes-159,dignidad-186,silenciar-208","único-62,mejor-164","pasar-39,crecer-72,reventar-112,tené-170,https://t.co/8qy4bedyqn-218",Alberto-1,"","",inseguridad
1622228415435755521,2023-02-05,Javier Milei,"""Cuando ví La Casa de Papel, pensaba que los ladrones, al emitir su dinero le robaban al Estado. Gracias a @JMilei, hoy sabemos que devaluaron el euro y le robaron a los poseedores de los mismos. Y aún así los aplaudían. \n¿No te suena familiar? https://t.co/p77uK0xblZ""","ladrón-45,dinero-68,euro-146,poseedor-170",familiar-236,"ví-8,emitir-58,saber-120,devaluar-132,robar-156,sonar-230","","","Estado-89,Gracias-97",robar
1622060212088721410,2023-02-05,Javier Milei,"""""No es un crimen ser un ignorante en ciencia económica, que es una disciplina especializada. Pero sí es totalmente irresponsable, tener una opinión radical y vociferante en temas económicos, mientras que se está en ese estado de ignorancia.""\n\nMurray Rothbard-""","crimen-11,ignorante-25,ciencia-38,disciplinar-68,opinión-141,temer-174,estar-220,ignorancia-230","económico-46,especializar-79,irresponsable-116,radical-149,vociferante-159,económico-180","ser-18,tener-131,estar-208","","","",crimen
